order_id,order_date,customer_id,product_id,product_name,quantity,unit_price,order_total,payment_method,shipping_country,shipping_city,status
ORD2025-00001,2025-01-14,CUST5385,SKU1002,Mechanical Keyboard,4,89.99,359.96,apple_pay,Canada,Toronto,Processing
ORD2025-00002,2025-04-08,CUST9785,SKU1009,Bluetooth Speaker,3,58.75,176.25,apple_pay,Mexico,Mexico City,Processing
ORD2025-00003,2025-02-10,CUST3212,SKU1006,Portable SSD 1TB,5,119.99,599.95,apple_pay,Japan,Tokyo,Shipped
ORD2025-00004,2025-02-11,CUST1027,SKU1015,LED Desk Lamp,4,45.25,181.0,credit_card,Argentina,Buenos Aires,Returned
ORD2025-00005,2025-04-07,CUST2144,SKU1001,Wireless Mouse,3,25.99,77.97,google_pay,Canada,Toronto,Processing
ORD2025-00006,2025-01-24,CUST3329,SKU1003,USB‑C Hub 7‑in‑1,1,39.95,39.95,apple_pay,Argentina,Buenos Aires,Cancelled
ORD2025-00007,2025-05-27,CUST8813,SKU1005,27‑inch 4K Monitor,4,349.0,1396.0,credit_card,South Africa,Cape Town,Delivered
ORD2025-00008,2025-03-29,CUST9547,SKU1013,Gaming Headset,4,79.99,319.96,paypal,Mexico,Mexico City,Returned
ORD2025-00009,2025-05-15,CUST6165,SKU1001,Wireless Mouse,4,25.99,103.96,bank_transfer,Spain,Barcelona,Returned
ORD2025-00010,2025-05-05,CUST9529,SKU1011,Smartphone Stand,4,18.5,74.0,apple_pay,Colombia,Medellín,Processing
ORD2025-00011,2025-02-16,CUST2353,SKU1015,LED Desk Lamp,4,45.25,181.0,apple_pay,United Kingdom,London,Delivered
ORD2025-00012,2025-03-28,CUST7409,SKU1015,LED Desk Lamp,1,45.25,45.25,google_pay,Spain,Barcelona,Returned
ORD2025-00013,2025-03-28,CUST1267,SKU1004,Noise‑Cancelling Headphones,5,129.5,647.5,credit_card,Mexico,Mexico City,Delivered
ORD2025-00014,2025-01-04,CUST6765,SKU1004,Noise‑Cancelling Headphones,4,129.5,518.0,bank_transfer,Colombia,Medellín,Processing
ORD2025-00015,2025-03-15,CUST9106,SKU1013,Gaming Headset,6,79.99,479.94,paypal,Colombia,Medellín,Cancelled
ORD2025-00016,2025-02-15,CUST3519,SKU1009,Bluetooth Speaker,4,58.75,235.0,google_pay,South Africa,Cape Town,Cancelled
ORD2025-00017,2025-01-12,CUST1166,SKU1003,USB‑C Hub 7‑in‑1,4,39.95,159.8,paypal,United States,New York,Delivered
ORD2025-00018,2025-04-01,CUST5455,SKU1007,Webcam 1080p,6,49.49,296.94,google_pay,United States,New York,Processing
ORD2025-00019,2025-01-17,CUST9361,SKU1006,Portable SSD 1TB,6,119.99,719.94,credit_card,Canada,Toronto,Cancelled
